Genomic bins	A1_FB_ShallowInflow	A3_1mMystic	A4_3mMystic	A5_5mMystic	A6_7mMystic	A7_9mMystic	A8_11mMystic	B1_13mMystic	B2_15mMystic	B3_17mMystic	B4_19mMystic	B5_20mMystic	B6_21mMystic	B7_22mMystic	B9_PosControlEColiMystic	H2_PosControlEBAlly	H3_PosControlEMAlly
bin.58	0.00262068676581	0.000379811430697	0.000412526121018	0.000877407929558	0.00174208218263	0.00873047689901	0.0531052231344	0.0232267663531	0.0288978911133	0.0193508103858	0.085963742767	0.0566332961516	0.0390215866345	0.0369417278492	1.3308634651e-06	0.0	3.76643657206e-06
bin.72	0.0086171085252	0.00130860468571	0.00113747009134	0.00865466751664	0.00441110688553	0.00397180472739	0.0180291210839	0.0841612928966	0.138521985709	0.0268217191553	0.0188098820645	0.0123540579104	0.0076999627018	0.00749045800465	1.62688568488e-06	2.7939253932e-06	1.89250945704e-05
bin.69	0.00378074167517	0.00103024177651	0.000750867937532	0.00461962369244	0.049568681424	0.061219670327	0.108108129318	0.0662808126625	0.0404478814417	0.0122652384943	0.0131288157905	0.00953327985987	0.00673615827794	0.00647329694184	0.0	0.0	1.02755843877e-05
bin.21	0.00812960166493	0.00850741504875	0.00695622030484	0.182842293339	0.900693794116	0.432432867589	0.334631588195	0.191530960509	0.108618662754	0.0127673428147	0.00734222135823	0.00497830777206	0.00355455617017	0.00319004846903	0.0	0.0	7.14709278019e-06
bin.65	0.0175385813173	0.0142825911899	0.00983133502779	0.0363120591683	0.178733785082	0.129547992456	0.213379577511	0.224138167707	0.293441265247	0.0756089695487	0.0852172754904	0.0566491916896	0.0375112505962	0.0328579919876	0.0	9.7327790218e-06	2.44568180746e-05
bin.51	0.0116415726486	0.0152667128984	0.0105697258661	0.326720191883	0.618570972555	0.24174978758	0.28663462098	0.137482070896	0.0810667375232	0.0120541384013	0.00603566707718	0.0043716481184	0.00321572650592	0.00255364493562	0.0	0.0	6.93504477412e-06
bin.75	0.0854428719916	0.180144927269	0.145277657347	0.075476905495	0.306487627317	0.15439871593	0.0900178712116	0.0228196347659	0.00802116200072	0.00154287916012	0.00211750734279	0.00181702425813	0.00135114679872	0.00162357300608	0.0	2.59206676523e-06	3.22564665806e-05
bin.47	0.000925156370618	8.46290092466e-05	0.000105728817936	0.00502346284015	0.000399993548785	0.000163046064266	0.000316598247993	0.00741755166616	0.109601793661	0.0413408977716	0.0212131873994	0.0122783104712	0.00903120440771	0.00957224929218	0.0	1.20700391456e-06	1.82882809452e-06
bin.57	0.00152319903463	0.000218077423948	0.000204717210792	0.000638071614949	0.000279709648186	0.000314524208258	0.000545096799095	0.0475476264636	0.347539703143	0.11191358678	0.0693206674798	0.038531413526	0.0417117698196	0.0459013543457	1.37101877079e-06	1.98299713802e-06	2.08491896578e-06
bin.23	0.422575838024	0.0166164230848	0.0150593257973	0.0292679156139	0.104096763022	1.08128132877	1.24261931925	0.303036900239	0.0195358683017	0.00566221723781	0.0163541773497	0.00908590610361	0.0104660504599	0.0122230544706	3.18978162802e-06	3.19929485731e-06	4.77445395141e-05
