Gene_Sequence	A1_FB_ShallowInflow	A3_1mMystic	A4_3mMystic	A5_5mMystic	A6_7mMystic	A7_9mMystic	A8_11mMystic	B1_13mMystic	B2_15mMystic	B3_17mMystic	B4_19mMystic	B5_20mMystic	B6_21mMystic	B7_22mMystic	B9_PosControlEColiMystic	H2_PosControlEBAlly	H3_PosControlEMAlly
bin_58_KDKMPMAC_00275	14.89277	0.0	0.0	0.0	7.927553	16.537845	28.162501	33.378806	4.985811	28.000315	44.714954	28.599508	33.394038	30.178377	0.0	0.0	0.0
bin_58_KDKMPMAC_00276	20.726974	0.0	13.079373	55.050998	54.873163	56.846005	82.348616	85.631932	10.243435	9.574416	49.327308	39.50237	92.58995	0.0	50.599356	0.0	0.0
bin_58_KDKMPMAC_00277	15.262943	0.0	0.0	0.0	0.0	0.0	14.448465	42.824514	25.588318	43.115318	64.213372	87.988588	68.488474	108.325337	0.0	0.0	0.0
bin_58_KDKMPMAC_01334	7.383236	0.0	0.0	0.0	3.894527	8.031983	37.673428	64.335611	12.032316	13.482095	61.09246	27.992607	24.66137	44.411995	0.0	0.0	0.0
bin_59_FMHNMKLJ_00106	25.45971	72.987204	47.855436	3.740702	20.118318	20.713396	70.676762	89.778374	1163.709919	1863.770278	1283.66937	1186.331924	1132.695024	777.314595	0.0	0.0	0.0
bin_59_FMHNMKLJ_00495	0.0	80.681726	48.711139	22.706506	40.938328	21.797324	0.0	88.755474	1611.965341	2732.345356	1612.727417	1667.37622	1731.887148	1097.679445	0.0	0.0	0.0
bin_59_FMHNMKLJ_01209	17.703911	30.745243	29.55542	6.933025	18.601307	6.393246	3.883061	54.329932	1157.00459	1682.022624	969.930605	803.336931	1035.143479	779.230271	0.0	0.0	0.0
bin_59_FMHNMKLJ_01212	46.527094	0.0	23.443689	301.733259	24.602253	20.355947	34.701709	156.302587	965.984845	1112.907237	822.98044	658.885195	695.520653	533.284946	0.0	0.0	0.0
bin_59_FMHNMKLJ_01228	28.732894	0.0	0.0	20.593139	13.799129	14.258536	24.311033	61.945799	913.763163	1610.132275	794.68839	850.287157	816.552436	673.353015	42.259092	15.656517	0.0
bin_59_FMHNMKLJ_01229	31.268229	10.909439	26.311104	0.0	44.152864	30.768003	24.362367	97.626694	893.863997	1477.51948	924.822594	725.117516	627.065726	514.342857	50.899221	0.0	0.0
bin_59_FMHNMKLJ_01416	75.342089	0.0	0.0	0.0	0.0	0.0	0.0	109.85303	1055.180507	2219.3593	925.543401	807.41611	1200.315356	698.621795	0.0	0.0	0.0
bin_59_FMHNMKLJ_01417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.242728	673.392652	962.51676	579.869561	480.252926	780.043683	307.481558	0.0	0.0	0.0
bin_59_FMHNMKLJ_02313	69.590272	0.0	0.0	53.882726	62.020069	199.046284	354.687166	179.960455	1246.36685	1853.344676	1318.58262	729.868779	1136.921327	1017.510454	0.0	0.0	0.0
